Key,Rating
star-wars:-episode-iii-- revenge-of-the-sith-(2005),3
apocalypse-now-(1979),3.5
world-of-tomorrow-episode-three:-the-absent-destinations-of-david-prime-(2020),4
superbabies:-baby-geniuses-2-(2004),0.5
mamaboy-(2016),1.5
little-italy-(2018),1.5
strange-magic-(2015),2.5
everything-everywhere-all-at-once-(2022),4.5
come-and-see-(1985),3.5
one-flew-over-the-cuckoo's-nest-(1975),3
blade-runner-(1982),2.5
the-map-of-tiny-perfect-things-(2021),4
flubber-(1997),1.5
brave-new-world-(1998),1
star-wars:-the-last-jedi-(2017),2
jaws-(1975),2.5
the-kissing-booth-(2018),1
rain-man-(1988),2.5
a-clockwork-orange-(1971),3
mulholland-drive-(2001),4.5
breakthrough-(2019),1.5
return-of-the-jedi-(1983),2.5
interstellar-(2014),2.5
world-of-tomorrow-(2015),3.5
the-star-wars-holiday-special-(1978),2
the-angry-birds-movie-2-(2019),2.5
star-wars:-the-force-awakens-(2015),2
eighth-grade-(2018),4.5
gooby-(2009),1.5
the-angry-birds-movie-(2016),2.5
bo-burnham:-inside-(2021),4
mirror-(1975),3.5
school-of-rock-(2003),2.5
big-baby-(2015),1
inception-(2010),3
inside-out-(2015),3
the-shawshank-redemption-(1994),3
cube-2:-hypercube-(2002),1.5
pulp-fiction-(1994),4.5
stand-by-me-(1986),3.5
everything-will-be-ok-(2006),4
persona-(1966),5
"synecdoche,-new-york-(2008)",5
bo-burnham:-make-happy-(2016),4
dead-man's-letters-(1986),4
i-am-so-proud-of-you-(2008),4
bo-burnham:-what.-(2013),3.5
world-of-tomorrow-episode-two:-the-burden-of-other-people's-thoughts-(2017),3.5
children-of-men-(2006),2.5
close-encounters-of-the-third-kind-(1977),2.5
nineteen-eighty-four-(1984),3
upstream-color-(2013),4
bad-times-at-the-el-royale-(2018),3.5
bo-burnham:-the-inside-outtakes-(2022),3.5
the-perks-of-being-a-wallflower-(2012),3
west-side-story-(1961),2
the-fifth-element-(1997),2.5
c-me-dance-(2009),1.5
2001:-a-space-odyssey-(1968),5
spider-man-(2002),3
falsettos-(2017),2
a-dog's-will-(2000),4
saturday-night-fever-(1977),0.5
the-holy-mountain-(1973),4.5
it's-such-a-beautiful-day-(2012),5
stalker-(1979),3.5
promising-young-woman-(2020),3.5
back-to-the-future-(1985),2.5
back-to-the-future-part-ii-(1989),3
morbius-(2022),2.5
angel's-egg-(1985),3.5
"bo-burnham:-words,-words,-words-(2010)",2.5
swiped-(2018),1.5
he's-all-that-(2021),2
standing-ovation-(2010),1.5
baby-geniuses-(1999),1
ex-machina-(2014),2.5
money-plane-(2020),1
star-wars:-the-rise-of-skywalker-(2019),1
star-wars:-the-clone-wars-(2008),2
mac-and-me-(1988),1.5
rocky-(1976),2.5
solo:-a-star-wars-story-(2018),2
rogue-one:-a-star-wars-story-(2016),2
the-little-prince-(2015),3.5
weird-science-(1985),1.5
brazil-(1985),4.5
star-wars-(1977),3
taxi-driver-(1976),4.5
willy-wonka-&-the-chocolate-factory-(1971),3
charlie-and-the-chocolate-factory-(2005),3
star-wars:-episode-ii-- attack-of-the-clones-(2002),3
star-wars:-episode-i---the-phantom-menace-(1999),3
the-empire-strikes-back-(1980),3
capybara-walking-(1887),3
back-to-the-future-part-iii-(1990),2
the-vast-of-night-(2019),2
the-lord-of-the-rings:-the-two-towers-(2002),2
the-lord-of-the-rings:-the-fellowship-of-the-ring-(2001),2
the-lord-of-the-rings:-the-return-of-the-king-(2003),2.5
the-godfather-(1972),2
her-(2013),5
satantango-(1994),4
death-of-a-salesman-(1985),3
dear-evan-hansen-(2021),0.5
2025:-the-world-enslaved-by-a-virus-(2021),0.5
dancing-ninja-(2010),1
kindergarten-cop-(1990),3
it's-such-a-beautiful-day-(2011),4.5
eternal-sunshine-of-the-spotless-mind-(2004),5
parasite-(2019),5
ally-&-obie-(2018),1
big-fat-liar-(2002),2.5
age-out-(2018),2.5
cube-(1997),3
cube-zero-(2004),2
the-truman-show-(1998),3
