Title,Year,Director
2001: A Space Odyssey,1968,Stanley Kubrick
Brazil,1985,Terry Gilliam
Stalker,1979,Andrei Tarkovsky
Angel's Egg,1985,Mamoru Oshii
Upstream Color,2013,Shane Carruth
Mirror,1975,Andrei Tarkovsky
"Synecdoche, New York",2008,Charlie Kaufman
Cube,1997,Vincenzo Natali
Cube 2: Hypercube,2002,Andrzej Sekula
Satantango,1994,B�la Tarr
Eighth Grade,2018,Bo Burnham
Bad Times at the El Royale,2018,Drew Goddard
Pulp Fiction,1994,Quentin Tarantino
Stand by Me,1986,Rob Reiner
Jaws,1975,Steven Spielberg
Saturday Night Fever,1977,John Badham
The Holy Mountain,1973,Alejandro Jodorowsky
The Angry Birds Movie,2016,"Fergal Reilly, Clay Kaytis"
The Angry Birds Movie 2,2019,Thurop Van Orman
Her,2013,Spike Jonze
The Shawshank Redemption,1994,Frank Darabont
Rocky,1976,John G. Avildsen
West Side Story,1961,"Robert Wise, Jerome Robbins"
Death of a Salesman,1985,Volker Schl�ndorff
Persona,1966,Ingmar Bergman
Interstellar,2014,Christopher Nolan
One Flew Over the Cuckoo's Nest,1975,Milo� Forman
A Clockwork Orange,1971,Stanley Kubrick
Come and See,1985,Elem Klimov
Breakthrough,2019,Roxann Dawson
Rain Man,1988,Barry Levinson
Strange Magic,2015,Gary Rydstrom
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry
A Dog's Will,2000,Guel Arraes
Nineteen Eighty-Four,1984,Michael Radford
Children of Men,2006,Alfonso Cuar�n
Close Encounters of the Third Kind,1977,Steven Spielberg
Ex Machina,2014,Alex Garland
The Fifth Element,1997,Luc Besson
Blade Runner,1982,Ridley Scott
Brave New World,1998,"Larry Williams, Leslie Libman"
The Godfather,1972,Francis Ford Coppola
C Me Dance,2009,Greg Robbins
Little Italy,2018,Donald Petrie
Money Plane,2020,Andrew Lawrence
Mamaboy,2016,Aaron Leong
Weird Science,1985,John Hughes
Gooby,2009,Wilson Coneybeare
Swiped,2018,Ann Deborah Fishman
Standing Ovation,2010,Stewart Raffill
Mac and Me,1988,Stewart Raffill
Flubber,1997,Les Mayfield
It's Such a Beautiful Day,2012,Don Hertzfeldt
Everything Will Be OK,2006,Don Hertzfeldt
I Am So Proud of You,2008,Don Hertzfeldt
It's Such a Beautiful Day,2011,Don Hertzfeldt
Apocalypse Now,1979,Francis Ford Coppola
The Map of Tiny Perfect Things,2021,Ian Samuels
Bo Burnham: Make Happy,2016,"Bo Burnham, Christopher Storer"
Bo Burnham: What.,2013,"Bo Burnham, Christopher Storer"
Bo Burnham: Inside,2021,Bo Burnham
Capybara Walking,1887,Eadweard Muybridge
The Vast of Night,2019,Andrew Patterson
School of Rock,2003,Richard Linklater
2025: The World Enslaved by a Virus,2021,"Joshua Wesely, Simon Wesely"
Morbius,2022,Daniel Espinosa
Spider-Man,2002,Sam Raimi
Inside Out,2015,Pete Docter
He's All That,2021,Mark Waters
Everything Everywhere All at Once,2022,"Daniel Scheinert, Daniel Kwan"
Bo Burnham: The Inside Outtakes,2022,Bo Burnham
World of Tomorrow,2015,Don Hertzfeldt
World of Tomorrow Episode Two: The Burden of Other People's Thoughts,2017,Don Hertzfeldt
Charlie and the Chocolate Factory,2005,Tim Burton
Dear Evan Hansen,2021,Stephen Chbosky
Willy Wonka & the Chocolate Factory,1971,Mel Stuart
The Perks of Being a Wallflower,2012,Stephen Chbosky
The Kissing Booth,2018,Vince Marcello
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson
Back to the Future,1985,Robert Zemeckis
Inception,2010,Christopher Nolan
The Lord of the Rings: The Return of the King,2003,Peter Jackson
The Empire Strikes Back,1980,Irvin Kershner
The Lord of the Rings: The Two Towers,2002,Peter Jackson
Superbabies: Baby Geniuses 2,2004,Bob Clark
Baby Geniuses,1999,Bob Clark
Promising Young Woman,2020,Emerald Fennell
Star Wars: Episode I - The Phantom Menace,1999,George Lucas
Star Wars: Episode II -�Attack of the Clones,2002,George Lucas
Star Wars: Episode III -�Revenge of the Sith,2005,George Lucas
Solo: A Star Wars Story,2018,Ron Howard
Rogue One: A Star Wars Story,2016,Gareth Edwards
Star Wars,1977,George Lucas
Return of the Jedi,1983,Richard Marquand
Star Wars: The Force Awakens,2015,J.J. Abrams
Star Wars: The Last Jedi,2017,Rian Johnson
Star Wars: The Rise of Skywalker,2019,J.J. Abrams
"Bo Burnham: Words, Words, Words",2010,Shannon Hartman
Star Wars: The Clone Wars,2008,Dave Filoni
The Star Wars Holiday Special,1978,"Steve Binder, David Acomba"
The Little Prince,2015,Mark Osborne
Falsettos,2017,Matthew Diamond
Big Baby,2015,Stephen Langford
Dead Man's Letters,1986,Konstantin Lopushansky
Taxi Driver,1976,Martin Scorsese
World of Tomorrow Episode Three: The Absent Destinations of David Prime,2020,Don Hertzfeldt
Mulholland Drive,2001,David Lynch
Dancing Ninja,2010,"Mitchell Klebanoff, Kelly Sandefur"
Back to the Future Part II,1989,Robert Zemeckis
Back to the Future Part III,1990,Robert Zemeckis
Kindergarten Cop,1990,Ivan Reitman
Parasite,2019,Bong Joon-ho
Ally & Obie,2018,
Big Fat Liar,2002,Shawn Levy
Age Out,2018,A.J. Edwards
Cube Zero,2004,Ernie Barbarash
The Truman Show,1998,Peter Weir
Double Daddy,2015,Lee Friedlander
iBoy,2017,Adam Randall
Time Freak,2018,Andrew Bowler
Division 19,2017,Suzie Halewood
Time Toys,2016,Mark Rosman
Daddy Can't Dance,2012,Pete Vinal
Invisible Sue,2016,Markus Dietrich
In Time,2011,Andrew Niccol
Mr. Moll and the Chocolate Factory,2017,Manuel Flurin Hendry
Big Time Movie,2012,Savage Steve Holland
Adventureland,2009,Greg Mottola
Vanilla Sky,2001,Cameron Crowe
Megalopolis,2025,Francis Ford Coppola
Wonka,2023,Paul King
The World Famous Kid Detective,2013,
I'm Thinking of Ending Things,2020,Charlie Kaufman
The House That Jack Built,2018,Lars von Trier
Licorice Pizza,2021,Paul Thomas Anderson
Coherence,2013,James Ward Byrkit
Enter the Void,2009,Gaspar No�
Palm Springs,2020,Max Barbakow
Midsommar,2019,Ari Aster
Little Shop of Horrors,1986,Frank Oz
Once Upon a Time� in Hollywood,2019,Quentin Tarantino
Blue Valentine,2010,Derek Cianfrance
Nope,2022,Jordan Peele
Call Me by Your Name,2017,Luca Guadagnino
American Psycho,2000,Mary Harron
Scott Pilgrim vs. the World,2010,Edgar Wright
Good Time,2017,"Josh Safdie, Benny Safdie"
After Exile,2025,Nick Cassavetes
La La Land,2016,Damien Chazelle
Requiem for a Dream,2000,Darren Aronofsky
Solaris,1972,Andrei Tarkovsky
The Matrix,1999,"Lilly Wachowski, Lana Wachowski"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick
Landscape in the Mist,1988,Theo Angelopoulos
Fight Club,1999,David Fincher
Whiplash,2014,Damien Chazelle
The Silence of the Lambs,1991,Jonathan Demme
Booksmart,2019,Olivia Wilde
